text,label
便秘的定义是什么？,定义
便秘怎么解释？,定义
啥病叫便秘？,定义
便秘是啥病？,定义
解释一下便秘这个病。,定义
便秘的定义能告诉我吗？,定义
啥是便秘的定义？,定义
便秘的定义是啥样的？,定义
给我便秘的定义。,定义
解释一下便秘这个术语。,定义
能否详细阐述一下便秘的定义？,定义
便秘的具体定义和特征是什么？,定义
我想知道便秘的完整定义和相关信息。,定义
能否深入解释一下便秘的医学定义？,定义
便秘的定义中包含哪些关键要素？,定义
能否详细告诉我便秘的病理过程？,定义
便秘在医学上是如何被精确定义的？,定义
能否详细分析一下便秘的成因和表现？,定义
便秘的定义里有没有提到特定的治疗方法？,定义
给我一份关于便秘的详细定义报告。,定义
请解释一下便秘的具体含义。,定义
我对便秘的定义不太理解，能详细讲解一下吗？,定义
能否用简单易懂的方式解释一下便秘？,定义
便秘的定义里有哪些关键点是我需要知道的？,定义
解释一下为什么便秘会被这样定义？,定义
便秘的定义背后有哪些科学依据？,定义
我对便秘的定义感到困惑，能否帮我理清思路？,定义
能否从医学角度解释一下便秘的定义？,定义
便秘的定义中提到的症状有哪些？,定义
能否用几个例子来说明便秘的定义？,定义
前列腺癌的定义是什么？,定义
前列腺癌怎么解释？,定义
啥病叫前列腺癌？,定义
前列腺癌是啥病？,定义
解释一下前列腺癌这个病。,定义
前列腺癌的定义能告诉我吗？,定义
啥是前列腺癌的定义？,定义
前列腺癌的定义是啥样的？,定义
给我前列腺癌的定义。,定义
解释一下前列腺癌这个术语。,定义
能否详细阐述一下前列腺癌的定义？,定义
前列腺癌的具体定义和特征是什么？,定义
我想知道前列腺癌的完整定义和相关信息。,定义
能否深入解释一下前列腺癌的医学定义？,定义
前列腺癌的定义中包含哪些关键要素？,定义
能否详细告诉我前列腺癌的病理过程？,定义
前列腺癌在医学上是如何被精确定义的？,定义
能否详细分析一下前列腺癌的成因和表现？,定义
前列腺癌的定义里有没有提到特定的治疗方法？,定义
给我一份关于前列腺癌的详细定义报告。,定义
请解释一下前列腺癌的具体含义。,定义
我对前列腺癌的定义不太理解，能详细讲解一下吗？,定义
能否用简单易懂的方式解释一下前列腺癌？,定义
前列腺癌的定义里有哪些关键点是我需要知道的？,定义
解释一下为什么前列腺癌会被这样定义？,定义
前列腺癌的定义背后有哪些科学依据？,定义
我对前列腺癌的定义感到困惑，能否帮我理清思路？,定义
能否从医学角度解释一下前列腺癌的定义？,定义
前列腺癌的定义中提到的症状有哪些？,定义
能否用几个例子来说明前列腺癌的定义？,定义
痣的定义是什么？,定义
痣怎么解释？,定义
啥病叫痣？,定义
痣是啥病？,定义
解释一下痣这个病。,定义
痣的定义能告诉我吗？,定义
啥是痣的定义？,定义
痣的定义是啥样的？,定义
给我痣的定义。,定义
解释一下痣这个术语。,定义
能否详细阐述一下痣的定义？,定义
痣的具体定义和特征是什么？,定义
我想知道痣的完整定义和相关信息。,定义
能否深入解释一下痣的医学定义？,定义
痣的定义中包含哪些关键要素？,定义
能否详细告诉我痣的病理过程？,定义
痣在医学上是如何被精确定义的？,定义
能否详细分析一下痣的成因和表现？,定义
痣的定义里有没有提到特定的治疗方法？,定义
给我一份关于痣的详细定义报告。,定义
请解释一下痣的具体含义。,定义
我对痣的定义不太理解，能详细讲解一下吗？,定义
能否用简单易懂的方式解释一下痣？,定义
痣的定义里有哪些关键点是我需要知道的？,定义
解释一下为什么痣会被这样定义？,定义
痣的定义背后有哪些科学依据？,定义
我对痣的定义感到困惑，能否帮我理清思路？,定义
能否从医学角度解释一下痣的定义？,定义
痣的定义中提到的症状有哪些？,定义
能否用几个例子来说明痣的定义？,定义
iga肾病的定义是什么？,定义
iga肾病怎么解释？,定义
啥病叫iga肾病？,定义
iga肾病是啥病？,定义
解释一下iga肾病这个病。,定义
iga肾病的定义能告诉我吗？,定义
啥是iga肾病的定义？,定义
iga肾病的定义是啥样的？,定义
给我iga肾病的定义。,定义
解释一下iga肾病这个术语。,定义
能否详细阐述一下iga肾病的定义？,定义
iga肾病的具体定义和特征是什么？,定义
我想知道iga肾病的完整定义和相关信息。,定义
能否深入解释一下iga肾病的医学定义？,定义
iga肾病的定义中包含哪些关键要素？,定义
能否详细告诉我iga肾病的病理过程？,定义
iga肾病在医学上是如何被精确定义的？,定义
能否详细分析一下iga肾病的成因和表现？,定义
iga肾病的定义里有没有提到特定的治疗方法？,定义
给我一份关于iga肾病的详细定义报告。,定义
请解释一下iga肾病的具体含义。,定义
我对iga肾病的定义不太理解，能详细讲解一下吗？,定义
能否用简单易懂的方式解释一下iga肾病？,定义
iga肾病的定义里有哪些关键点是我需要知道的？,定义
解释一下为什么iga肾病会被这样定义？,定义
iga肾病的定义背后有哪些科学依据？,定义
我对iga肾病的定义感到困惑，能否帮我理清思路？,定义
能否从医学角度解释一下iga肾病的定义？,定义
iga肾病的定义中提到的症状有哪些？,定义
能否用几个例子来说明iga肾病的定义？,定义
附睾炎的定义是什么？,定义
附睾炎怎么解释？,定义
啥病叫附睾炎？,定义
附睾炎是啥病？,定义
解释一下附睾炎这个病。,定义
附睾炎的定义能告诉我吗？,定义
啥是附睾炎的定义？,定义
附睾炎的定义是啥样的？,定义
给我附睾炎的定义。,定义
解释一下附睾炎这个术语。,定义
能否详细阐述一下附睾炎的定义？,定义
附睾炎的具体定义和特征是什么？,定义
我想知道附睾炎的完整定义和相关信息。,定义
能否深入解释一下附睾炎的医学定义？,定义
附睾炎的定义中包含哪些关键要素？,定义
能否详细告诉我附睾炎的病理过程？,定义
附睾炎在医学上是如何被精确定义的？,定义
能否详细分析一下附睾炎的成因和表现？,定义
附睾炎的定义里有没有提到特定的治疗方法？,定义
给我一份关于附睾炎的详细定义报告。,定义
请解释一下附睾炎的具体含义。,定义
我对附睾炎的定义不太理解，能详细讲解一下吗？,定义
能否用简单易懂的方式解释一下附睾炎？,定义
附睾炎的定义里有哪些关键点是我需要知道的？,定义
解释一下为什么附睾炎会被这样定义？,定义
附睾炎的定义背后有哪些科学依据？,定义
我对附睾炎的定义感到困惑，能否帮我理清思路？,定义
能否从医学角度解释一下附睾炎的定义？,定义
附睾炎的定义中提到的症状有哪些？,定义
能否用几个例子来说明附睾炎的定义？,定义
肺癌的定义是什么？,定义
肺癌怎么解释？,定义
啥病叫肺癌？,定义
肺癌是啥病？,定义
解释一下肺癌这个病。,定义
肺癌的定义能告诉我吗？,定义
啥是肺癌的定义？,定义
肺癌的定义是啥样的？,定义
给我肺癌的定义。,定义
解释一下肺癌这个术语。,定义
能否详细阐述一下肺癌的定义？,定义
肺癌的具体定义和特征是什么？,定义
我想知道肺癌的完整定义和相关信息。,定义
能否深入解释一下肺癌的医学定义？,定义
肺癌的定义中包含哪些关键要素？,定义
能否详细告诉我肺癌的病理过程？,定义
肺癌在医学上是如何被精确定义的？,定义
能否详细分析一下肺癌的成因和表现？,定义
肺癌的定义里有没有提到特定的治疗方法？,定义
给我一份关于肺癌的详细定义报告。,定义
请解释一下肺癌的具体含义。,定义
我对肺癌的定义不太理解，能详细讲解一下吗？,定义
能否用简单易懂的方式解释一下肺癌？,定义
肺癌的定义里有哪些关键点是我需要知道的？,定义
解释一下为什么肺癌会被这样定义？,定义
肺癌的定义背后有哪些科学依据？,定义
我对肺癌的定义感到困惑，能否帮我理清思路？,定义
能否从医学角度解释一下肺癌的定义？,定义
肺癌的定义中提到的症状有哪些？,定义
